Step, Time, Epot, Ekin, Etot
235, 9.400000, -596374.300498, 5988.271680, -590386.028818
236, 9.440000, -598149.183904, 5893.089186, -592256.094718
237, 9.480000, -598061.302515, 5903.217215, -592158.085300
238, 9.520000, -599524.722504, 5901.033658, -593623.688846
239, 9.560000, -598146.615079, 5882.302364, -592264.312715
240, 9.600000, -597131.456005, 5871.693636, -591259.762369
241, 9.640000, -598640.338794, 5882.574611, -592757.764183
242, 9.680000, -597166.812045, 5889.862687, -591276.949358
243, 9.720000, -597744.522930, 5916.949859, -591827.573071
244, 9.760000, -597426.368398, 5966.237370, -591460.131028
245, 9.800000, -597772.147234, 5935.158807, -591836.988427
246, 9.840000, -598751.992434, 5881.396398, -592870.596036
247, 9.880000, -597789.066981, 5878.255435, -591910.811546
248, 9.920000, -596244.995210, 5882.748330, -590362.246880
249, 9.960000, -595854.475853, 5873.458761, -589981.017092
250, 10.000000, -594687.231392, 5892.551947, -588794.679445
251, 10.040000, -595839.247275, 5877.300241, -589961.947034
252, 10.080000, -596245.010875, 5841.049109, -590403.961766
253, 10.120000, -593740.156922, 5830.876023, -587909.280900
254, 10.160000, -594629.087395, 5843.541025, -588785.546370
255, 10.200000, -595836.464314, 5874.443614, -589962.020700
256, 10.240000, -596536.531315, 5880.812818, -590655.718497
257, 10.280000, -595727.757249, 5900.156683, -589827.600566
258, 10.320000, -595677.960082, 5853.564564, -589824.395519
259, 10.360000, -597546.054382, 5774.130322, -591771.924060
260, 10.400000, -595986.248076, 5737.787144, -590248.460932
261, 10.440000, -595195.096445, 5770.519231, -589424.577214
262, 10.480000, -595771.333843, 5839.310011, -589932.023832
263, 10.520000, -597683.393060, 5913.013275, -591770.379786
264, 10.560000, -597337.812011, 5940.189017, -591397.622993
265, 10.600000, -597068.052547, 5906.801766, -591161.250781
266, 10.640000, -596528.615632, 5914.111363, -590614.504269
267, 10.680000, -595364.648033, 5939.647031, -589425.001001
268, 10.720000, -592597.979456, 5921.248029, -586676.731427
269, 10.760000, -593345.283317, 5885.902543, -587459.380774
270, 10.800000, -595641.344129, 5927.382428, -589713.961701
271, 10.840000, -595674.414904, 5951.772653, -589722.642251
272, 10.880000, -596402.572527, 5954.344202, -590448.228325
273, 10.920000, -594064.015443, 5994.943182, -588069.072261
274, 10.960000, -595513.353887, 5989.029121, -589524.324767
275, 11.000000, -594082.291426, 6008.020075, -588074.271350
276, 11.040000, -593563.280782, 6020.263983, -587543.016799
277, 11.080000, -594403.764258, 5960.795256, -588442.969002
278, 11.120000, -594569.875695, 5851.439953, -588718.435741
279, 11.160000, -593534.066647, 5820.290476, -587713.776171
280, 11.200000, -594102.657365, 5847.413180, -588255.244185
281, 11.240000, -595300.754908, 5830.673332, -589470.081576
282, 11.280000, -594187.549787, 5834.382110, -588353.167677
283, 11.320000, -594229.592027, 5879.284378, -588350.307649
284, 11.360000, -597114.012329, 5957.499941, -591156.512387
285, 11.400000, -594987.667939, 6027.794067, -588959.873872
286, 11.440000, -593863.938646, 6042.751940, -587821.186707
287, 11.480000, -595330.080422, 5987.832461, -589342.247961
288, 11.520000, -594359.310586, 5943.805671, -588415.504915
289, 11.560000, -593915.473479, 5903.785939, -588011.687540
290, 11.600000, -592952.580086, 5910.447693, -587042.132392
291, 11.640000, -593295.698160, 5931.434836, -587364.263324
292, 11.680000, -591511.085512, 5932.639555, -585578.445957
293, 11.720000, -592274.527590, 5942.163424, -586332.364167
294, 11.760000, -593357.525412, 5948.680507, -587408.844906
295, 11.800000, -593848.667664, 5920.275167, -587928.392497
296, 11.840000, -595532.092196, 5882.399329, -589649.692868
297, 11.880000, -595741.087846, 5869.933212, -589871.154634
298, 11.920000, -594549.554867, 5869.341529, -588680.213337
299, 11.960000, -594263.608793, 5871.879316, -588391.729476
300, 12.000000, -592743.211139, 5903.774553, -586839.436586
301, 12.040000, -593569.812348, 5917.363757, -587652.448591
302, 12.080000, -590436.987441, 5881.285548, -584555.701893
303, 12.120000, -591326.675777, 5841.282853, -585485.392925
304, 12.160000, -589279.616720, 5801.458159, -583478.158561
305, 12.200000, -590480.639757, 5828.435781, -584652.203976
306, 12.240000, -592966.727336, 5911.486264, -587055.241073
307, 12.280000, -593710.240541, 5949.468413, -587760.772128
308, 12.320000, -592470.761910, 5892.139752, -586578.622158
309, 12.360000, -591753.015301, 5890.870169, -585862.145133
310, 12.400000, -591787.727512, 5945.137276, -585842.590237
311, 12.440000, -593266.067211, 5949.992881, -587316.074330
312, 12.480000, -594583.703389, 5907.156562, -588676.546828
313, 12.520000, -593306.629752, 5880.901074, -587425.728679
314, 12.560000, -594702.550810, 5897.291569, -588805.259241
315, 12.600000, -597046.276964, 5853.241362, -591193.035602
316, 12.640000, -596791.409830, 5808.507975, -590982.901855
317, 12.680000, -595141.231501, 5827.690838, -589313.540663
318, 12.720000, -595784.646521, 5904.073707, -589880.572814
319, 12.760000, -592065.117850, 5925.347957, -586139.769893
320, 12.800000, -591733.579013, 5874.950273, -585858.628740
321, 12.840000, -590338.649388, 5839.864316, -584498.785071
322, 12.880000, -589798.372008, 5858.481577, -583939.890431
323, 12.920000, -592278.095617, 5933.205296, -586344.890322
324, 12.960000, -591708.587464, 5972.766683, -585735.820781
325, 13.000000, -593775.754816, 5994.143881, -587781.610935
326, 13.040000, -593616.828137, 5964.502574, -587652.325563
327, 13.080000, -592403.775301, 5885.354690, -586518.420611
328, 13.120000, -592428.607488, 5860.952134, -586567.655354
329, 13.160000, -592493.329947, 5892.768198, -586600.561749
330, 13.200000, -594057.178349, 5922.205891, -588134.972458
331, 13.240000, -591813.599177, 5887.835453, -585925.763724
332, 13.280000, -588926.327932, 5798.354286, -583127.973646
333, 13.320000, -589383.916955, 5744.943893, -583638.973061
334, 13.360000, -590256.383061, 5787.701682, -584468.681379
335, 13.400000, -592049.656695, 5809.666432, -586239.990262
336, 13.440000, -592203.020372, 5757.613277, -586445.407095
337, 13.480000, -594068.302125, 5807.176721, -588261.125404
338, 13.520000, -596793.835692, 5897.674099, -590896.161594
339, 13.560000, -597195.488998, 5934.259126, -591261.229872
340, 13.600000, -596077.476439, 5922.802894, -590154.673545
341, 13.640000, -591905.044497, 5896.721976, -586008.322521
342, 13.680000, -590876.079600, 5912.448157, -584963.631443
343, 13.720000, -588963.718556, 5978.657002, -582985.061553
344, 13.760000, -589973.920434, 5988.113862, -583985.806572
345, 13.800000, -591348.819188, 5969.270172, -585379.549015
346, 13.840000, -592835.895351, 5949.914112, -586885.981239
347, 13.880000, -594317.453772, 5963.020817, -588354.432954
348, 13.920000, -592923.060397, 5934.101904, -586988.958494
349, 13.960000, -591479.179645, 5898.160839, -585581.018806
350, 14.000000, -590771.234915, 5893.263926, -584877.970989
351, 14.040000, -590610.632666, 5921.824329, -584688.808337
352, 14.080000, -591019.609161, 5951.378963, -585068.230198
353, 14.120000, -591881.364806, 5936.316491, -585945.048315
354, 14.160000, -590072.993563, 5921.778448, -584151.215115
355, 14.200000, -591547.125666, 5937.295062, -585609.830604
356, 14.240000, -592113.502475, 5994.271204, -586119.231271
357, 14.280000, -593123.218241, 5998.493228, -587124.725013
358, 14.320000, -592771.654837, 5956.337293, -586815.317544
359, 14.360000, -590503.014923, 5904.503390, -584598.511533
360, 14.400000, -592149.247561, 5870.504154, -586278.743408
361, 14.440000, -592764.134449, 5886.966102, -586877.168347
362, 14.480000, -593147.434837, 5915.693091, -587231.741746
363, 14.520000, -591242.103508, 5927.554273, -585314.549235
364, 14.560000, -590309.253192, 5963.575270, -584345.677923
365, 14.600000, -592153.358189, 5959.875598, -586193.482591
366, 14.640000, -590637.312358, 5932.389514, -584704.922844
367, 14.680000, -591411.665932, 5964.891262, -585446.774670
368, 14.720000, -590691.458777, 5947.448462, -584744.010315
369, 14.760000, -593576.751966, 5906.147492, -587670.604474
370, 14.800000, -593173.408074, 5883.190921, -587290.217154
371, 14.840000, -592319.617327, 5913.805532, -586405.811795
372, 14.880000, -591005.428337, 5911.629833, -585093.798504
373, 14.920000, -589335.618099, 5858.406881, -583477.211218
374, 14.960000, -589475.204495, 5872.613834, -583602.590660
375, 15.000000, -591679.374014, 5869.698663, -585809.675352
376, 15.040000, -588977.648652, 5831.654101, -583145.994551
377, 15.080000, -588422.676084, 5842.115398, -582580.560686
378, 15.120000, -590897.211016, 5869.842104, -585027.368912
379, 15.160000, -590303.106162, 5869.276694, -584433.829468
380, 15.200000, -589614.332410, 5840.507086, -583773.825323
381, 15.240000, -590884.914298, 5847.974461, -585036.939837
382, 15.280000, -591237.434665, 5902.461617, -585334.973048
383, 15.320000, -588497.100164, 5913.810354, -582583.289810
384, 15.360000, -588909.069735, 5870.612991, -583038.456744
385, 15.400000, -587968.272628, 5854.001277, -582114.271351
386, 15.440000, -588268.218430, 5860.746102, -582407.472327
387, 15.480000, -589865.642794, 5928.399258, -583937.243536
388, 15.520000, -592003.818772, 5995.393895, -586008.424877
389, 15.560000, -592689.945424, 5967.360411, -586722.585013
390, 15.600000, -594253.954268, 5916.196643, -588337.757625
391, 15.640000, -592134.477234, 5909.039502, -586225.437732
392, 15.680000, -590735.332584, 5939.869715, -584795.462870
393, 15.720000, -593727.004019, 6033.908987, -587693.095032
394, 15.760000, -593395.770190, 6076.552087, -587319.218103
395, 15.800000, -593710.739469, 6038.921685, -587671.817784
396, 15.840000, -591424.021277, 5957.454573, -585466.566704
397, 15.880000, -591064.465356, 5917.830418, -585146.634938
398, 15.920000, -587332.128413, 5947.013180, -581385.115233
399, 15.960000, -588262.542306, 5966.316085, -582296.226221
400, 16.000000, -587616.295861, 5954.005036, -581662.290825
401, 16.040000, -588444.796435, 5918.847747, -582525.948688
402, 16.080000, -591651.946637, 5935.582291, -585716.364346
403, 16.120000, -591481.740218, 5970.541838, -585511.198381
404, 16.160000, -591744.478684, 5996.163700, -585748.314983
405, 16.200000, -592853.443400, 5991.695038, -586861.748362
406, 16.240000, -590725.645930, 5978.559698, -584747.086232
407, 16.280000, -590726.937993, 5988.073300, -584738.864693
408, 16.320000, -589315.517979, 6007.104150, -583308.413829
409, 16.360000, -589085.353994, 5986.208637, -583099.145358
410, 16.400000, -592585.741994, 6033.951934, -586551.790060
411, 16.440000, -593344.999841, 6071.079734, -587273.920108
412, 16.480000, -591784.892328, 6018.800662, -585766.091666
413, 16.520000, -590584.484096, 5917.937473, -584666.546624
414, 16.560000, -590619.261569, 5841.371438, -584777.890130
415, 16.600000, -591150.102156, 5848.744309, -585301.357847
416, 16.640000, -588991.573501, 5906.808355, -583084.765146
417, 16.680000, -589581.205389, 5977.285717, -583603.919672
418, 16.720000, -592087.528009, 6027.621419, -586059.906590
419, 16.760000, -593480.825073, 6090.889821, -587389.935252
420, 16.800000, -594321.611441, 6078.254194, -588243.357247
421, 16.840000, -591798.334846, 6013.522313, -585784.812533
422, 16.880000, -589850.520362, 5986.820375, -583863.699987
423, 16.920000, -591108.543438, 6028.972887, -585079.570552
424, 16.960000, -593128.258868, 6038.499190, -587089.759678
425, 17.000000, -593509.936274, 6041.805171, -587468.131103
426, 17.040000, -593836.098555, 6007.368964, -587828.729591
427, 17.080000, -594753.834272, 5978.626390, -588775.207882
428, 17.120000, -590639.490034, 5992.284547, -584647.205487
429, 17.160000, -589978.612202, 5995.443599, -583983.168603
430, 17.200000, -591934.060463, 5958.847485, -585975.212979
431, 17.240000, -588568.429342, 5916.157220, -582652.272122
